X=24.386 Y=-122.598 Z=5.000,X=0.181 Y=-0.984 Z=0.000,X=0.110 Y=0.101
X=0.000 Y=-125.000 Z=5.000,X=0.000 Y=-1.000 Z=0.000,X=0.126 Y=0.101
X=0.000 Y=-125.000 Z=-5.000,X=0.000 Y=-1.000 Z=0.000,X=0.126 Y=0.151
X=0.000 Y=-125.000 Z=-15.000,X=0.000 Y=-1.000 Z=0.000,X=0.126 Y=0.200
X=0.000 Y=-125.000 Z=-25.000,X=-0.031 Y=-1.000 Z=0.000,X=0.126 Y=0.250
X=-24.386 Y=-122.598 Z=15.000,X=-0.197 Y=-0.976 Z=0.000,X=0.141 Y=0.052
X=-47.835 Y=-115.485 Z=25.000,X=-0.354 Y=-0.937 Z=0.000,X=0.157 Y=0.002
X=-24.386 Y=-122.598 Z=5.000,X=-0.197 Y=-0.976 Z=0.000,X=0.141 Y=0.101
X=-47.835 Y=-115.485 Z=15.000,X=-0.386 Y=-0.921 Z=0.000,X=0.157 Y=0.052
X=-69.446 Y=-103.934 Z=25.000,X=-0.528 Y=-0.850 Z=0.000,X=0.172 Y=0.002
X=-24.386 Y=-122.598 Z=-5.000,X=-0.197 Y=-0.976 Z=0.000,X=0.141 Y=0.151
X=-47.835 Y=-115.485 Z=5.000,X=-0.386 Y=-0.921 Z=0.000,X=0.157 Y=0.101
X=-69.446 Y=-103.934 Z=15.000,X=-0.559 Y=-0.827 Z=0.000,X=0.172 Y=0.052
X=-88.388 Y=-88.388 Z=25.000,X=-0.685 Y=-0.732 Z=0.000,X=0.188 Y=0.002
X=-24.386 Y=-122.598 Z=-15.000,X=-0.197 Y=-0.976 Z=0.000,X=0.141 Y=0.200
X=-24.386 Y=-122.598 Z=-25.000,X=-0.228 Y=-0.976 Z=0.000,X=0.141 Y=0.250
X=-88.388 Y=-88.388 Z=15.000,X=-0.709 Y=-0.709 Z=0.000,X=0.188 Y=0.052
X=-103.934 Y=-69.446 Z=25.000,X=-0.811 Y=-0.583 Z=0.000,X=0.203 Y=0.002
X=-47.835 Y=-115.485 Z=-15.000,X=-0.386 Y=-0.921 Z=0.000,X=0.157 Y=0.200
X=-47.835 Y=-115.485 Z=-25.000,X=-0.417 Y=-0.906 Z=0.000,X=0.157 Y=0.250
X=-47.835 Y=-115.485 Z=-5.000,X=-0.386 Y=-0.921 Z=0.000,X=0.157 Y=0.151
X=-69.446 Y=-103.934 Z=-15.000,X=-0.559 Y=-0.827 Z=0.000,X=0.172 Y=0.200
X=-69.446 Y=-103.934 Z=-25.000,X=-0.583 Y=-0.811 Z=0.000,X=0.172 Y=0.250
X=-69.446 Y=-103.934 Z=-5.000,X=-0.559 Y=-0.827 Z=0.000,X=0.172 Y=0.151
X=-69.446 Y=-103.934 Z=5.000,X=-0.559 Y=-0.827 Z=0.000,X=0.172 Y=0.101
X=-88.388 Y=-88.388 Z=5.000,X=-0.709 Y=-0.709 Z=0.000,X=0.188 Y=0.101
X=-88.388 Y=-88.388 Z=-5.000,X=-0.709 Y=-0.709 Z=0.000,X=0.188 Y=0.151
X=-88.388 Y=-88.388 Z=-15.000,X=-0.709 Y=-0.709 Z=0.000,X=0.188 Y=0.200
X=-88.388 Y=-88.388 Z=-25.000,X=-0.732 Y=-0.685 Z=0.000,X=0.188 Y=0.250
X=-103.934 Y=-69.446 Z=15.000,X=-0.827 Y=-0.559 Z=0.000,X=0.203 Y=0.052
X=-115.485 Y=-47.835 Z=25.000,X=-0.906 Y=-0.417 Z=0.000,X=0.219 Y=0.002
X=-103.934 Y=-69.446 Z=5.000,X=-0.827 Y=-0.559 Z=0.000,X=0.203 Y=0.101
X=-115.485 Y=-47.835 Z=15.000,X=-0.921 Y=-0.386 Z=0.000,X=0.219 Y=0.052
X=-122.598 Y=-24.386 Z=25.000,X=-0.976 Y=-0.228 Z=0.000,X=0.234 Y=0.002
X=-103.934 Y=-69.446 Z=-5.000,X=-0.827 Y=-0.559 Z=0.000,X=0.203 Y=0.151
X=-115.485 Y=-47.835 Z=5.000,X=-0.921 Y=-0.386 Z=0.000,X=0.219 Y=0.101
X=-122.598 Y=-24.386 Z=15.000,X=-0.976 Y=-0.197 Z=0.000,X=0.234 Y=0.052
X=-125.000 Y=0.000 Z=25.000,X=-1.000 Y=-0.031 Z=0.000,X=0.250 Y=0.002
X=-103.934 Y=-69.446 Z=-15.000,X=-0.827 Y=-0.559 Z=0.000,X=0.203 Y=0.200
X=-103.934 Y=-69.446 Z=-25.000,X=-0.850 Y=-0.528 Z=0.000,X=0.203 Y=0.250
X=-125.000 Y=0.000 Z=15.000,X=-1.000 Y=0.000 Z=0.000,X=0.250 Y=0.052
X=-122.598 Y=24.386 Z=25.000,X=-0.992 Y=0.150 Z=0.000,X=0.265 Y=0.002
X=-115.485 Y=-47.835 Z=-15.000,X=-0.921 Y=-0.386 Z=0.000,X=0.219 Y=0.200
X=-115.485 Y=-47.835 Z=-25.000,X=-0.937 Y=-0.354 Z=0.000,X=0.219 Y=0.250
X=-115.485 Y=-47.835 Z=-5.000,X=-0.921 Y=-0.386 Z=0.000,X=0.219 Y=0.151
X=-122.598 Y=-24.386 Z=-15.000,X=-0.976 Y=-0.197 Z=0.000,X=0.234 Y=0.200
X=-122.598 Y=-24.386 Z=-25.000,X=-0.984 Y=-0.165 Z=0.000,X=0.234 Y=0.250
X=-122.598 Y=-24.386 Z=-5.000,X=-0.976 Y=-0.197 Z=0.000,X=0.234 Y=0.151
X=-122.598 Y=-24.386 Z=5.000,X=-0.976 Y=-0.197 Z=0.000,X=0.234 Y=0.101
X=-125.000 Y=0.000 Z=5.000,X=-1.000 Y=0.000 Z=0.000,X=0.250 Y=0.101
X=-125.000 Y=0.000 Z=-5.000,X=-1.000 Y=0.000 Z=0.000,X=0.250 Y=0.151
X=-125.000 Y=0.000 Z=-15.000,X=-1.000 Y=0.000 Z=0.000,X=0.250 Y=0.200
X=-125.000 Y=0.000 Z=-25.000,X=-1.000 Y=0.016 Z=0.000,X=0.250 Y=0.250
X=-122.598 Y=24.386 Z=15.000,X=-0.984 Y=0.181 Z=0.000,X=0.265 Y=0.052
X=-115.485 Y=47.836 Z=25.000,X=-0.937 Y=0.339 Z=0.000,X=0.281 Y=0.002
X=-122.598 Y=24.386 Z=5.000,X=-0.984 Y=0.181 Z=0.000,X=0.265 Y=0.101
X=-115.485 Y=47.836 Z=15.000,X=-0.929 Y=0.370 Z=0.000,X=0.281 Y=0.052
X=-103.934 Y=69.446 Z=25.000,X=-0.858 Y=0.520 Z=-0.008,X=0.296 Y=0.002
X=-122.598 Y=24.386 Z=-5.000,X=-0.984 Y=0.181 Z=0.000,X=0.265 Y=0.151
X=-115.485 Y=47.836 Z=5.000,X=-0.929 Y=0.370 Z=0.000,X=0.281 Y=0.101
X=-103.934 Y=69.446 Z=15.000,X=-0.835 Y=0.543 Z=0.000,X=0.296 Y=0.052
X=-88.388 Y=88.388 Z=25.000,X=-0.740 Y=0.677 Z=-0.008,X=0.312 Y=0.002
X=-122.598 Y=24.386 Z=-15.000,X=-0.984 Y=0.181 Z=0.000,X=0.265 Y=0.200
X=-122.598 Y=24.386 Z=-25.000,X=-0.976 Y=0.213 Z=0.000,X=0.265 Y=0.250
X=-88.388 Y=88.388 Z=15.000,X=-0.717 Y=0.701 Z=-0.008,X=0.312 Y=0.052
X=-69.446 Y=103.934 Z=25.000,X=-0.591 Y=0.811 Z=-0.008,X=0.327 Y=0.002
X=-115.485 Y=47.836 Z=-15.000,X=-0.929 Y=0.370 Z=0.000,X=0.281 Y=0.200
X=-115.485 Y=47.836 Z=-25.000,X=-0.913 Y=0.402 Z=0.000,X=0.281 Y=0.250
X=-115.485 Y=47.836 Z=-5.000,X=-0.929 Y=0.370 Z=0.000,X=0.281 Y=0.151
X=-103.934 Y=69.446 Z=-15.000,X=-0.835 Y=0.543 Z=0.000,X=0.296 Y=0.200
X=-103.934 Y=69.446 Z=-25.000,X=-0.819 Y=0.567 Z=0.000,X=0.296 Y=0.250
X=-103.934 Y=69.446 Z=-5.000,X=-0.835 Y=0.543 Z=0.000,X=0.296 Y=0.151
X=-103.934 Y=69.446 Z=5.000,X=-0.835 Y=0.543 Z=0.000,X=0.296 Y=0.101
X=-88.388 Y=88.388 Z=5.000,X=-0.717 Y=0.701 Z=-0.008,X=0.312 Y=0.101
X=-88.388 Y=88.388 Z=-5.000,X=-0.717 Y=0.701 Z=-0.008,X=0.312 Y=0.151
X=-88.388 Y=88.388 Z=-15.000,X=-0.717 Y=0.701 Z=-0.008,X=0.312 Y=0.200
X=-88.388 Y=88.388 Z=-25.000,X=-0.693 Y=0.724 Z=-0.008,X=0.312 Y=0.250
X=-69.446 Y=103.934 Z=15.000,X=-0.567 Y=0.827 Z=-0.008,X=0.327 Y=0.052
X=-47.835 Y=115.485 Z=25.000,X=-0.425 Y=0.906 Z=-0.008,X=0.343 Y=0.002
X=-69.446 Y=103.934 Z=5.000,X=-0.567 Y=0.827 Z=-0.008,X=0.327 Y=0.101
X=-47.835 Y=115.485 Z=15.000,X=-0.394 Y=0.921 Z=-0.008,X=0.343 Y=0.052
X=-24.386 Y=122.598 Z=25.000,X=-0.236 Y=0.969 Z=-0.008,X=0.358 Y=0.002
X=-69.446 Y=103.934 Z=-5.000,X=-0.567 Y=0.827 Z=-0.008,X=0.327 Y=0.151
X=-47.835 Y=115.485 Z=5.000,X=-0.394 Y=0.921 Z=-0.008,X=0.343 Y=0.101
X=-24.386 Y=122.598 Z=15.000,X=-0.205 Y=0.976 Z=-0.008,X=0.358 Y=0.052
X=0.000 Y=125.000 Z=25.000,X=-0.047 Y=1.000 Z=-0.016,X=0.374 Y=0.002
X=-69.446 Y=103.934 Z=-15.000,X=-0.567 Y=0.827 Z=-0.008,X=0.327 Y=0.200
X=-69.446 Y=103.934 Z=-25.000,X=-0.535 Y=0.843 Z=-0.008,X=0.327 Y=0.250
X=0.000 Y=125.000 Z=15.000,X=-0.008 Y=1.000 Z=-0.008,X=0.374 Y=0.052
X=24.386 Y=122.598 Z=25.000,X=0.157 Y=0.984 Z=-0.008,X=0.389 Y=0.002
X=-47.835 Y=115.485 Z=-15.000,X=-0.394 Y=0.921 Z=-0.008,X=0.343 Y=0.200
X=-47.835 Y=115.485 Z=-25.000,X=-0.362 Y=0.929 Z=-0.008,X=0.343 Y=0.250
X=-47.835 Y=115.485 Z=-5.000,X=-0.394 Y=0.921 Z=-0.008,X=0.343 Y=0.151
X=-24.386 Y=122.598 Z=-15.000,X=-0.205 Y=0.976 Z=-0.008,X=0.358 Y=0.200
X=-24.386 Y=122.598 Z=-25.000,X=-0.173 Y=0.984 Z=-0.008,X=0.358 Y=0.250
